UNITID,XGRCOHRT,GRCOHRT,XUGENTER,UGENTERN,XPGRCOHR,PGRCOHRT,XRRFTCT,RRFTCT,XRRFTEX,RRFTEX,XRRFTIN,RRFTIN,XRRFTCTA,RRFTCTA,XRET_NMF,RET_NMF,XRET_PCF,RET_PCF,XRRPTCT,RRPTCT,XRRPTEX,RRPTEX,XRRPTIN,RRPTIN,XRRPTCTA,RRPTCTA,XRET_NMP,RET_NMP,XRET_PCP,RET_PCP,XSTUFACR,STUFACR 
151564,"A",,"A",,"A",,"R",8,"R",0,"R",0,"R",8,"R",7,"R",88,"R",32,"R",0,"R",0,"R",32,"R",22,"R",69,"R",11
151607,"A",,"A",,"A",,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",14
151661,"A",,"A",,"A",,"R",248,"R",0,"R",0,"R",248,"R",145,"R",58,"A",,"A",,"A",,"A",,"A",,"A",,"R",26
151777,"R",288,"R",326,"R",88,"R",257,"R",0,"R",0,"R",257,"R",184,"R",72,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",13
151786,"R",604,"R",795,"R",76,"R",408,"R",0,"R",0,"R",408,"R",316,"R",77,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",13
151801,"R",497,"R",679,"R",73,"R",580,"R",0,"R",0,"R",580,"R",457,"R",79,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"A",,"R",12
151810,"R",8,"R",47,"R",17,"R",4,"R",0,"R",0,"R",4,"R",3,"R",75,"R",9,"R",0,"R",0,"R",9,"R",3,"R",33,"R",11
151962,"R",34,"R",73,"R",47,"R",2,"R",0,"R",0,"R",2,"R",2,"R",100,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",10
152044,"A",,"A",,"A",,"P",11,"P",0,"P",0,"P",11,"P",7,"P",64,"P",56,"P",0,"P",0,"P",56,"P",48,"P",86,"P",20
152080,"R",2075,"R",2267,"R",92,"R",2037,"R",1,"R",0,"R",2036,"R",1999,"R",98,"A",,"A",,"A",,"A",,"A",,"A",,"R",9
152099,"R",121,"R",169,"R",72,"R",125,"R",0,"R",0,"R",125,"R",85,"R",68,"R",3,"R",0,"R",0,"R",3,"R",3,"R",100,"R",12
152150,"A",,"A",,"A",,"R",9,"R",0,"R",0,"R",9,"R",4,"R",44,"R",13,"R",0,"R",0,"R",13,"R",7,"R",54,"R",10
